name	MParameter	unit	index	min.	max.	place	usage

acceleration gravity	g	m s-2	1	9.7639		9.8337		model	input
Biot alpha			alpha		X	1	0.	1.	ipoint	input
bulk density		RHOR	kg m-3	1	2.00E+02	1.00E+04	element	input
cohesion			C		Pa		1	0.			1.0e8	ipoint	input
conductivity		K	m s-1	1	1.00E-25	1.00E+02	element	computed
Darcy velocity		vD	m s-1	2	0.		1.0e-5		element	computed
Darcy velocity node	vDn	m s-1	2	0.		1.0e-5		node	computed
density		RHO		kg m-3	1	2.00E+02	1.00E+04	element	computed
displacement		UV	m	2	-1.00E+03	1.00E+03	node	computed
dry rock density	RHOR	kg m-3	1	2.00E+02	1.00E+04	element	computed
elevation			E	m	1	0.	10000.	node	computed
fluid body force	F	Nm-3	2	2.00E+02	1.00E+04	element	computed
failure			F	X	1	-10		10		ipoint	computed
fluid compressibility		B	Pa-1		1	0.00E+00	1.00E-03	node	computed
fluid density		RHOF	kg m-3	1	2.00E+02	1.00E+04	node	computed
fluid enthalpy			H	J kg-1	1	1.00E+02	1.00E+09		node	computed
fluid expansivity		A	oC-1		1	-2.00E+00	2.00E+00	node	computed
fluid heat capacity		CP	J kg-1 oC-1	1	1.00E+02	1.00E+09	node	computed
fluid pressure		PF	Pa	1	0.00E+00	1.00E+09	node	computed
fluid viscosity		MUF	Pa s	1	1.00E-06	1.00E-02	node	computed
fluid volume source	QV	m3	1	-1.00E+08	1.00E+08	element	input
force			F	N	2	-1.00E+12	1.00E+12	node	computed
friction coefficient	MU	degrees	1	0.		90.		ipoint	input
friction angle	ALPHA	o	1		0.	90.				ipoint	input
gravity force		GF	N	2	-1.00E+15	1.00E+15	element	computed
gravity term		GT	m	2	-1.00E+08	1.00E+08	element	computed
hydraulic head			H	m	1	0.	1e8	node	computed
max horizontal stress ratio	SH	N m-2	1	-1.0	1.0	model	input
max shear stress	SSmax	Pa n-2	1	-1.00E+10	1.00E+10	ipoint	computed
mean stress		SM	Pa m-2	1	-1.00E+12	1.00E+12	ipoint	computed
min horizontal stress ratio	Sh	N m-2	1	-1.0	1.0	model	input
Neumann stress		SN	Pa m-2	2	-1.00E+12	1.00E+12	element	computed
normal stress		SN	Pa	1	-1.00E+12	1.00E+12	face	input
overburden pressure	CP	Pa	1	0.00E+00	1.00E+09	node	computed
overburden stress	Sv	Pa	1	1.00E+05	1.00E+08	model	input
permeability		k	m2	1	1.00E-25	1.00E+02	element	input
Poisson's ratio		NU	X	1	0.00E+00	0.50		element	input
porosity		PHI	m3	1	1.00E-06	1.00E+00	element	input
principal strain		EP	Pa m-2	2	-1.00E+12	1.00E+12	ipoint	computed
principal stress		SP	Pa m-2	2	-1.00E+12	1.00E+12	ipoint	computed
rock type		RRT	code	1	0		100		region	input
saturation steam		SAT	X		1	0.00E+00	1.00E+00	node	computed
shear stress		SS	Pa	2	-1.00E+08	1.00E+08	face	input
sigma1			SI1	Pa m-2	2	-1.00E+12	1.00E+12	ipoint	computed
sigma2			SI2	Pa m-2	2	-1.00E+12	1.00E+12	ipoint	computed
sigma3			SI3	Pa m-2	2	-1.00E+12	1.00E+12	ipoint	computed
storativity		BC	m3 Pa-1	1	1.00E-12	1.00E-06	element	computed
strain			EPS	Pa m-2	3	-1.00E+03	1.00E+03	ipoint	computed
strain1			E1	Pa m-2	2	-1.00E+03	1.00E+03	ipoint	computed
strain2			E2	Pa m-2	2	-1.00E+03	1.00E+03	ipoint	computed
strain3			E3	Pa m-2	2	-1.00E+03	1.00E+03	ipoint	computed
stress			SI	Pa m-2	3	-1.00E+12	1.00E+12	ipoint	computed
stress-xy		Sxy	Pa	1	-1.00E+08	1.00E+08	ipoint	input
stress-y		SY	Pa m-2	1	-1.00E+12	1.00E+12	ipoint	computed
temperature		T	oC	1	1.		400.		node	computed
tensile failure		F1	X	1	-10		10		ipoint	computed
tensile strength	TS	Pa	1	0.	1.0e8		ipoint	input
thermal conductivity	KT	Wm-1K-1	1	1.		5.5		element	input
thermal expansion		QT	m3 s-1	1	-1.00E+00	1.00E+00	element		computed
thickness		V	m3	1	1.00E-10	1.00E+08	element	computed
total dissolved solids	TDS	kg m-3	1	0.		300.		node	input
vertical stress	SV	N m-2	1	-1.00E+08	1.00E+12	node	input
Young's modulus		E	Pa-1	1	0.00E+00	1.00E+15	ipoint	input
